sampling_date,inf_pH,inf_cond,inf_CODt,inf_CODs,inf_MLSS,inf_MLVSS,inf_TKN,inf_NH4N,ana_pH,ana_cond,ana_CODt,ana_CODs,ana_MLSS,ana_MLVSS,ana_TKN,ana_NH4N,eff_pH,eff_cond,eff_CODt,eff_CODs,eff_MLSS,eff_MLVSS,eff_TKN,eff_NH4N
01/12/2025,,,2695,2152,308,276,112,25,,,652,150,500,467,141,100,,,180,145,4,4,13,6
03/12/2025,3.95,,4772,4349,255,215,258,50,7.41,,999,306,630,440,159,100,7.56,,147,139,5,5,13,6
05/12/2025,4.48,,3935,3531,450,385,197,44,7.2,,997,326,670,500,148,92,7.53,,114,105,6,0,12,1
08/12/2025,4.99,,2402,2255,233,197,111,98,7.55,,612,321,305,250,154,112,7.56,,135,98,37,17,13,6
10/12/2025,,,2993,1712,290,195,64,15,,,940,354,393,273,149,103,,,119,85,12,0,16,8
12/12/2025,,,3599,736,550,395,162,39,,,694,314,453,300,134,93,,,97,76,19,5,17,10
15/12/2025,,,1554,1312,,,80,0,,,657,329,,,147,50,,,101,95,,,10,3
17/12/2025,,,2765,1281,2040,1850,199,32,,,829,356,500,425,142,48,,,108,103,6,2,8,3
19/12/2025,,,1834,1499,,,65,11,,,789,322,,,131,36,,,157,149,,,18,0
22/12/2025,,,3446,3406,,,237,67,,,788,257,,,230,77,,,121,109,,,25,8
24/12/2025,,,1090,1056,,,88,,,,1027,381,,,224,,,,124,113,,,23,
06/01/2026,5.47,2.61,1490,1456,340,295,85,45,,,851,644,500,487,237,89,,,134,119,10,9,15,6
12/01/2026,4.42,4.27,4601,4292,397,357,198,43,7.78,6.63,803,375,535,470,,124,4.36,8.1,133,121,10,7,11,8
15/01/2026,4.62,4.88,5489,4192,750,660,249,53,7.74,5.19,919,375,540,450,150,135,4.59,8.07,127,126,12,9,15,10
20/01/2026,4.72,5.06,2746,2546,396,328,41,13,6.37,7.79,1035,408,805,615,209,142,4.7,8.46,160,142,48,34,23,10
22/01/2026,8.95,9.37,4648,4525,239,185,252,52,8.15,7.15,736,356,636,493,138,102,5.26,8.93,135,130,33,27,19,10
28/01/2026,4.92,5.11,3848,3599,520,470,,60,6.57,7.74,550,303,296,228,128,106,5.61,8.96,104,97,14,10,10,5
30/01/2026,2.02,6.73,1394,1058,243,218,52,17,5.08,7.84,586,291,300,246,107,81,5.54,8.98,97,85,9,5,6,3
03/02/2026,3.88,3.47,4100,3645,256,225,157,29,7.41,4.36,908,431,383,333,,83,8.79,5.14,97,89,13,12,6,4
05/02/2026,4.84,2.68,2874,2361,360,325,122,25,7.43,4.38,773,387,467,407,137,88,8.78,2.36,112,105,8,6,7,1
09/02/2026,2.81,8.57,1239,670,228,173,58,28,7.61,4.22,507,353,147,132,107,93,7.32,4.33,103,102,12,9,6,2
05/03/2026,6.93,2.83,1647,1458,237,234,90,31,6.98,5.06,2082,877,960,860,186,113,8.44,5,133,118,15,14,8,1
19/03/2026,8.27,5.57,1481,1069,358,280,86,12,7.12,7.28,1296,702,700,607,206,136,7.79,5.8,293,133,32,30,10,1
27/03/2026,6.29,8.75,4778,4054,247,130,165,22,6.44,6.58,2260,910,830,720,211,116,7.35,5.68,170,158,13,10,15,1
02/04/2026,8.61,8.72,2566,1674,277,238,78,12,6.49,7.23,1834,864,705,678,186,114,6.93,7.41,161,158,51,27,18,1
10/04/2026,5.26,8.31,8233,6353,652,585,377,75,6.93,7.41,3199,1750,740,725,264,160,8.05,5.11,311,233,60,27,8,0
27/04/2026,11.33,8.94,4008,2791,905,765,135,41,7.04,3.74,1486,880,365,323,122,61,7.83,4.76,787,187,28,23,19,1
